ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,Total_Injection_VOL,BORE_OIL_VOL
24.0,63.32331,65.162,31.611,17636.0,5387.0
24.0,63.34706,65.283,31.71,17580.0,5417.0
24.0,63.3727,65.769,32.181,16875.0,5472.0
24.0,63.35065,65.781,32.177,17367.0,5497.0
24.0,63.08526,66.415,32.814,16442.0,5513.0
24.0,62.44119,67.024,33.434,17254.0,5508.0
24.0,62.03865,68.083,34.519,17589.0,5491.0
24.0,61.7554,68.637,35.069,17517.0,5497.0
24.0,60.50302,68.649,35.033,17517.0,5571.0
24.0,61.28419,69.547,35.95,17564.0,5496.0
24.0,61.2049,70.026,36.423,17583.0,5507.0
24.0,61.21606,70.38,36.741,17504.0,5528.0
24.0,61.21766,70.438,36.762,17458.0,5547.0
24.0,60.62755,71.018,37.351,17156.0,5557.0
24.0,60.21567,71.709,38.047,16812.0,5556.0
24.0,60.29822,71.769,38.076,9273.0,5727.0
24.0,60.69575,71.302,37.603,17515.0,5590.0
24.0,61.31431,71.045,37.309,17623.0,5629.0
22.0,51.6073,77.935,44.564,11842.0,4672.0
24.0,61.22542,72.045,38.244,15674.0,5622.0
24.0,65.33767,68.489,34.512,17385.0,5902.0
24.0,62.67664,71.645,37.667,17272.0,5644.0
24.0,64.08093,70.184,36.254,17327.0,5870.0
24.0,60.46817,73.3,39.55,16883.0,5717.0
24.0,56.38311,77.676,44.193,16573.0,5458.0
24.0,51.45374,82.739,49.585,17468.0,5110.0
24.0,52.76798,81.36,48.075,17329.0,5268.0
24.0,52.00658,82.843,49.639,17289.0,4526.0
24.0,51.76695,83.512,50.318,17312.0,4385.0
24.0,50.13891,85.473,52.339,17341.0,4235.0
24.0,51.30181,84.638,51.445,17404.0,4352.0
24.0,51.79296,84.264,51.016,17585.0,4426.0
24.0,50.83468,85.551,52.382,17574.0,4299.0
23.15,47.84756,87.067,54.007,16702.0,4124.0
23.68,49.86984,86.169,53.08,15520.0,4351.0
24.0,51.99413,84.726,51.458,16800.0,4499.0
24.0,51.80502,85.185,51.856,17262.0,4473.0
24.0,51.79489,85.484,52.193,17305.0,4495.0
24.0,51.38528,86.237,53.003,17318.0,4425.0
24.0,51.34268,86.636,53.406,17302.0,4425.0
24.0,53.13363,84.72,51.348,10314.0,4967.0
24.0,56.4563,80.624,47.033,7130.0,5586.0
24.0,51.02972,86.747,53.581,17136.0,4398.0
24.0,51.03915,86.935,53.777,16889.0,4388.0
24.0,53.20937,84.561,51.215,11376.0,5225.0
24.0,51.12604,86.836,53.646,16609.0,4402.0
24.0,51.14965,87.166,53.945,17245.0,4422.0
24.0,55.02495,82.56,48.994,6355.0,5438.0
24.0,51.27967,86.76,53.5,16204.0,4488.0
24.0,51.32802,86.935,53.659,17196.0,4430.0
15.84,47.92887,90.072,57.031,17198.0,2738.0
21.83,51.28212,87.452,54.152,17187.0,4189.0
24.0,47.63367,92.343,59.353,13254.0,4259.0
24.0,50.5802,88.586,55.349,16998.0,4393.0
24.0,50.85285,88.442,55.213,16440.0,4431.0
24.0,50.8748,88.641,55.408,16578.0,4498.0
22.0,45.4927,92.252,60.04,13705.0,3945.0
24.0,49.79176,90.475,57.379,16865.0,4331.0
24.0,48.75859,91.951,58.944,17190.0,4221.0
22.64,47.31098,92.092,59.082,15535.0,4057.0
24.0,50.82152,89.683,56.452,16889.0,4479.0
24.0,50.25471,90.524,57.35,16303.0,4436.0
24.0,50.1816,90.831,57.652,16774.0,4434.0
24.0,50.22592,91.104,57.93,16964.0,4440.0
24.0,41.98632,100.954,68.068,16920.0,3876.0
24.0,50.3375,91.666,58.445,16825.0,4536.0
24.0,50.28252,91.856,58.636,16453.0,4498.0
24.0,50.32883,92.077,58.852,16295.0,4487.0
22.0,45.39998,96.789,63.896,17005.0,4036.0
24.0,49.45753,93.753,60.602,16904.0,4422.0
24.0,49.20211,94.316,61.185,16997.0,4360.0
24.0,49.40652,94.526,61.385,16971.0,4433.0
24.0,49.85503,94.264,61.062,16958.0,4449.0
24.0,50.75903,93.044,59.709,16935.0,4593.0
24.0,49.46572,93.664,60.35,16921.0,4638.0
24.0,49.90172,94.56,61.322,16274.0,4474.0
11.17,47.95769,96.219,63.256,9318.0,2441.0
24.0,45.16791,100.455,67.575,15025.0,4366.0
24.0,39.79281,111.001,78.629,10058.0,3361.0
24.0,45.9951,101.414,68.479,10014.0,4021.0
18.53,55.0593,86.19,52.33,10786.0,4197.0
21.23,55.1475,87.055,53.281,0.0,4693.0
23.5,43.69805,97.919,64.662,0.0,5414.0
24.0,52.27697,89.313,56.314,0.0,4870.0
19.94,45.52175,89.126,56.128,0.0,3677.0
0.0,39.010875,38.148,38.139,0.0,0.0
6.5,32.5,78.127,68.012,0.0,614.0
13.0,36.1,85.282,59.013,0.0,1409.0
0.0,41.72045,35.354,28.12,0.0,0.0
22.14,47.3409,89.028,56.794,0.0,3449.0
24.0,50.70707,85.149,52.788,0.0,4322.0
24.0,51.37017,82.59,50.423,0.0,4218.0
24.0,53.82318,79.404,46.903,0.0,4441.0
24.0,53.94449,78.506,46.027,0.0,4438.0
24.0,53.95206,77.545,45.082,0.0,4418.0
24.0,53.98404,76.654,44.235,0.0,4353.0
4.19,45.01147,81.691,49.996,0.0,724.0
0.0,41.198076,12.393,11.702,0.0,0.0
0.0,37.384682000000005,18.431,18.044,0.0,0.0
0.0,33.571288,71.026,70.959,6202.0,0.0
0.0,29.757894,79.224,79.187,5579.0,0.0
6.14,25.9445,98.734,65.983,452.0,456.0
24.0,56.99216,74.28,41.306,8340.0,4922.0
24.0,60.94874,69.997,36.905,8848.0,5288.0
24.0,60.98591,69.836,36.756,8672.0,5145.0
24.0,57.46294,72.732,39.88,8613.0,4734.0
24.0,55.71183,74.174,41.46,9041.0,4498.0
24.0,55.80897,73.665,40.94,7835.0,4536.0
24.0,65.20476,65.44,32.23,786.0,5545.0
24.0,68.01265,62.908,29.617,0.0,5678.0
24.0,62.47673,66.241,33.238,7906.0,5144.0
24.0,61.47575,66.566,33.625,6188.0,5238.0
24.0,68.52675,61.219,28.021,468.0,5605.0
24.0,70.54196,59.619,26.396,0.0,5595.0
24.0,69.86612,59.205,26.06,5085.0,5378.0
24.0,65.97469,60.805,27.813,9135.0,4985.0
